poll_info,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,year,state,candidate,pct
2012-utah-president-romney-vs-obama,16144,Key/BYU,2012-10-09,2012-10-13,Likely Voters,500,Live Phone,Nonpartisan,None,2012,utah,Undecided,9
2012-utah-president-romney-vs-obama,14175,Dan Jones & Associates,2012-06-15,2012-06-21,Registered Voters,1222,Live Phone,Nonpartisan,None,2012,utah,Obama,26
2012-utah-president-romney-vs-obama,14175,Dan Jones & Associates,2012-06-15,2012-06-21,Registered Voters,1222,Live Phone,Nonpartisan,None,2012,utah,Romney,68
2012-utah-president-romney-vs-obama,14175,Dan Jones & Associates,2012-06-15,2012-06-21,Registered Voters,1222,Live Phone,Nonpartisan,None,2012,utah,Other,4
2012-utah-president-romney-vs-obama,14175,Dan Jones & Associates,2012-06-15,2012-06-21,Registered Voters,1222,Live Phone,Nonpartisan,None,2012,utah,Undecided,2
2012-utah-president-romney-vs-obama,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem,2012,utah,Obama,31
2012-utah-president-romney-vs-obama,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem,2012,utah,Romney,63
2012-utah-president-romney-vs-obama,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem,2012,utah,Other,NA
2012-utah-president-romney-vs-obama,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem,2012,utah,Undecided,6
2012-maryland-president-romney-vs-obama,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,None,2012,maryland,Obama,59
2012-maryland-president-romney-vs-obama,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,None,2012,maryland,Romney,37
2012-maryland-president-romney-vs-obama,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,None,2012,maryland,Other,2
2012-maryland-president-romney-vs-obama,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,None,2012,maryland,Undecided,2
2012-maryland-president-romney-vs-obama,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,None,2012,maryland,Obama,55
2012-maryland-president-romney-vs-obama,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,None,2012,maryland,Romney,36
2012-maryland-president-romney-vs-obama,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,None,2012,maryland,Other,NA
2012-maryland-president-romney-vs-obama,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,None,2012,maryland,Undecided,8
2012-maryland-president-romney-vs-obama,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,None,2012,maryland,Obama,60
2012-maryland-president-romney-vs-obama,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,None,2012,maryland,Romney,36
2012-maryland-president-romney-vs-obama,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,None,2012,maryland,Other,2
2012-maryland-president-romney-vs-obama,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,None,2012,maryland,Undecided,2
2012-maryland-president-romney-vs-obama,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,None,2012,maryland,Obama,58
2012-maryland-president-romney-vs-obama,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,None,2012,maryland,Romney,37
2012-maryland-president-romney-vs-obama,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,None,2012,maryland,Other,2
2012-maryland-president-romney-vs-obama,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,None,2012,maryland,Undecided,4
2012-maryland-president-romney-vs-obama,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,None,2012,maryland,Obama,57
2012-maryland-president-romney-vs-obama,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,None,2012,maryland,Romney,34
2012-maryland-president-romney-vs-obama,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,None,2012,maryland,Other,NA
2012-maryland-president-romney-vs-obama,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,None,2012,maryland,Undecided,10
2012-maryland-president-romney-vs-obama,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,None,2012,maryland,Obama,55
2012-maryland-president-romney-vs-obama,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,None,2012,maryland,Romney,36
2012-maryland-president-romney-vs-obama,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,None,2012,maryland,Other,1
2012-maryland-president-romney-vs-obama,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,None,2012,maryland,Undecided,8
2012-maryland-president-romney-vs-obama,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,None,2012,maryland,Obama,57
2012-maryland-president-romney-vs-obama,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,None,2012,maryland,Romney,37
2012-maryland-president-romney-vs-obama,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,None,2012,maryland,Other,3
2012-maryland-president-romney-vs-obama,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,None,2012,maryland,Undecided,3
2012-maryland-president-romney-vs-obama,13898,PPP (D)/Marylanders for Marriage Equality,2012-05-14,2012-05-21,Likely Voters,852,Live Phone,Sponsor,Dem,2012,maryland,Obama,58
2012-maryland-president-romney-vs-obama,13898,PPP (D)/Marylanders for Marriage Equality,2012-05-14,2012-05-21,Likely Voters,852,Live Phone,Sponsor,Dem,2012,maryland,Romney,35
2012-maryland-president-romney-vs-obama,13898,PPP (D)/Marylanders for Marriage Equality,2012-05-14,2012-05-21,Likely Voters,852,Live Phone,Sponsor,Dem,2012,maryland,Other,NA
2012-maryland-president-romney-vs-obama,13898,PPP (D)/Marylanders for Marriage Equality,2012-05-14,2012-05-21,Likely Voters,852,Live Phone,Sponsor,Dem,2012,maryland,Undecided,6
2012-oklahoma-president-romney-vs-obama,16203,SoonerPoll.com,2012-10-18,2012-10-24,Likely Voters,305,Live Phone,Nonpartisan,None,2012,oklahoma,Obama,33
2012-oklahoma-president-romney-vs-obama,16203,SoonerPoll.com,2012-10-18,2012-10-24,Likely Voters,305,Live Phone,Nonpartisan,None,2012,oklahoma,Romney,58
2012-oklahoma-president-romney-vs-obama,16203,SoonerPoll.com,2012-10-18,2012-10-24,Likely Voters,305,Live Phone,Nonpartisan,None,2012,oklahoma,Other,NA
2012-oklahoma-president-romney-vs-obama,16203,SoonerPoll.com,2012-10-18,2012-10-24,Likely Voters,305,Live Phone,Nonpartisan,None,2012,oklahoma,Undecided,8
2012-oklahoma-president-romney-vs-obama,14703,SoonerPoll.com,2012-07-26,2012-08-14,Likely Voters,495,Live Phone,Nonpartisan,None,2012,oklahoma,Obama,29
2012-oklahoma-president-romney-vs-obama,14703,SoonerPoll.com,2012-07-26,2012-08-14,Likely Voters,495,Live Phone,Nonpartisan,None,2012,oklahoma,Romney,58
2012-oklahoma-president-romney-vs-obama,14703,SoonerPoll.com,2012-07-26,2012-08-14,Likely Voters,495,Live Phone,Nonpartisan,None,2012,oklahoma,Other,NA
2012-oklahoma-president-romney-vs-obama,14703,SoonerPoll.com,2012-07-26,2012-08-14,Likely Voters,495,Live Phone,Nonpartisan,None,2012,oklahoma,Undecided,13
2012-oklahoma-president-romney-vs-obama,13856,SoonerPoll.com,2012-05-07,2012-05-10,Likely Voters,503,Live Phone,Nonpartisan,None,2012,oklahoma,Obama,27
2012-oklahoma-president-romney-vs-obama,13856,SoonerPoll.com,2012-05-07,2012-05-10,Likely Voters,503,Live Phone,Nonpartisan,None,2012,oklahoma,Romney,62
2012-oklahoma-president-romney-vs-obama,13856,SoonerPoll.com,2012-05-07,2012-05-10,Likely Voters,503,Live Phone,Nonpartisan,None,2012,oklahoma,Other,NA
2012-oklahoma-president-romney-vs-obama,13856,SoonerPoll.com,2012-05-07,2012-05-10,Likely Voters,503,Live Phone,Nonpartisan,None,2012,oklahoma,Undecided,11
2012-north-dakota-president-romney-vs-obama,16371,Mason-Dixon,2012-10-26,2012-10-28,Likely Voters,625,Live Phone,Nonpartisan,None,2012,north-dakota,Obama,40
2012-north-dakota-president-romney-vs-obama,16371,Mason-Dixon,2012-10-26,2012-10-28,Likely Voters,625,Live Phone,Nonpartisan,None,2012,north-dakota,Romney,54
2012-north-dakota-president-romney-vs-obama,16371,Mason-Dixon,2012-10-26,2012-10-28,Likely Voters,625,Live Phone,Nonpartisan,None,2012,north-dakota,Other,NA
2012-north-dakota-president-romney-vs-obama,16371,Mason-Dixon,2012-10-26,2012-10-28,Likely Voters,625,Live Phone,Nonpartisan,None,2012,north-dakota,Undecided,3
2012-north-dakota-president-romney-vs-obama,16325,Pharos Research Group,2012-10-26,2012-10-28,Likely Voters,752,Live Phone,Nonpartisan,None,2012,north-dakota,Obama,38
2012-north-dakota-president-romney-vs-obama,16325,Pharos Research Group,2012-10-26,2012-10-28,Likely Voters,752,Live Phone,Nonpartisan,None,2012,north-dakota,Romney,55
2012-north-dakota-president-romney-vs-obama,16325,Pharos Research Group,2012-10-26,2012-10-28,Likely Voters,752,Live Phone,Nonpartisan,None,2012,north-dakota,Other,NA
2012-north-dakota-president-romney-vs-obama,16325,Pharos Research Group,2012-10-26,2012-10-28,Likely Voters,752,Live Phone,Nonpartisan,None,2012,north-dakota,Undecided,NA
2012-north-dakota-president-romney-vs-obama,16246,Pharos Research Group,2012-10-19,2012-10-21,Likely Voters,807,Live Phone,Nonpartisan,None,2012,north-dakota,Obama,39
2012-north-dakota-president-romney-vs-obama,16246,Pharos Research Group,2012-10-19,2012-10-21,Likely Voters,807,Live Phone,Nonpartisan,None,2012,north-dakota,Romney,49
2012-north-dakota-president-romney-vs-obama,16246,Pharos Research Group,2012-10-19,2012-10-21,Likely Voters,807,Live Phone,Nonpartisan,None,2012,north-dakota,Other,NA
