poll_info,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,year,state,candidate,pct
2016-west-virginia-president-trump-vs-clinton,26344,Ipsos/Reuters,2016-09-23,2016-10-13,Likely Voters,360,Internet,Nonpartisan,None,2016,west-virginia,Undecided,5
2016-west-virginia-president-trump-vs-clinton,26136,Ipsos/Reuters,2016-09-16,2016-10-06,Likely Voters,371,Internet,Nonpartisan,None,2016,west-virginia,Trump,55
2016-west-virginia-president-trump-vs-clinton,26136,Ipsos/Reuters,2016-09-16,2016-10-06,Likely Voters,371,Internet,Nonpartisan,None,2016,west-virginia,Clinton,36
2016-west-virginia-president-trump-vs-clinton,26136,Ipsos/Reuters,2016-09-16,2016-10-06,Likely Voters,371,Internet,Nonpartisan,None,2016,west-virginia,Johnson,NA
2016-west-virginia-president-trump-vs-clinton,26136,Ipsos/Reuters,2016-09-16,2016-10-06,Likely Voters,371,Internet,Nonpartisan,None,2016,west-virginia,McMullin,NA
2016-west-virginia-president-trump-vs-clinton,26136,Ipsos/Reuters,2016-09-16,2016-10-06,Likely Voters,371,Internet,Nonpartisan,None,2016,west-virginia,Other,NA
2016-west-virginia-president-trump-vs-clinton,26136,Ipsos/Reuters,2016-09-16,2016-10-06,Likely Voters,371,Internet,Nonpartisan,None,2016,west-virginia,Undecided,9
2016-west-virginia-president-trump-vs-clinton,25975,Garin-Hart-Yang (D-Reynolds),2016-09-13,2016-09-17,Likely Voters,500,Live Phone,Sponsor,Dem,2016,west-virginia,Trump,60
2016-west-virginia-president-trump-vs-clinton,25975,Garin-Hart-Yang (D-Reynolds),2016-09-13,2016-09-17,Likely Voters,500,Live Phone,Sponsor,Dem,2016,west-virginia,Clinton,28
2016-west-virginia-president-trump-vs-clinton,25975,Garin-Hart-Yang (D-Reynolds),2016-09-13,2016-09-17,Likely Voters,500,Live Phone,Sponsor,Dem,2016,west-virginia,Johnson,NA
2016-west-virginia-president-trump-vs-clinton,25975,Garin-Hart-Yang (D-Reynolds),2016-09-13,2016-09-17,Likely Voters,500,Live Phone,Sponsor,Dem,2016,west-virginia,McMullin,NA
2016-west-virginia-president-trump-vs-clinton,25975,Garin-Hart-Yang (D-Reynolds),2016-09-13,2016-09-17,Likely Voters,500,Live Phone,Sponsor,Dem,2016,west-virginia,Other,NA
2016-west-virginia-president-trump-vs-clinton,25975,Garin-Hart-Yang (D-Reynolds),2016-09-13,2016-09-17,Likely Voters,500,Live Phone,Sponsor,Dem,2016,west-virginia,Undecided,12
2016-west-virginia-president-trump-vs-clinton,25575,Ipsos/Reuters,2016-08-26,2016-09-15,Likely Voters,295,Internet,Nonpartisan,None,2016,west-virginia,Trump,49
2016-west-virginia-president-trump-vs-clinton,25575,Ipsos/Reuters,2016-08-26,2016-09-15,Likely Voters,295,Internet,Nonpartisan,None,2016,west-virginia,Clinton,39
2016-west-virginia-president-trump-vs-clinton,25575,Ipsos/Reuters,2016-08-26,2016-09-15,Likely Voters,295,Internet,Nonpartisan,None,2016,west-virginia,Johnson,NA
2016-west-virginia-president-trump-vs-clinton,25575,Ipsos/Reuters,2016-08-26,2016-09-15,Likely Voters,295,Internet,Nonpartisan,None,2016,west-virginia,McMullin,NA
2016-west-virginia-president-trump-vs-clinton,25575,Ipsos/Reuters,2016-08-26,2016-09-15,Likely Voters,295,Internet,Nonpartisan,None,2016,west-virginia,Other,NA
2016-west-virginia-president-trump-vs-clinton,25575,Ipsos/Reuters,2016-08-26,2016-09-15,Likely Voters,295,Internet,Nonpartisan,None,2016,west-virginia,Undecided,12
2016-west-virginia-president-trump-vs-clinton,25395,WashPost/SurveyMonkey,2016-08-09,2016-09-01,Registered Voters,698,Internet,Nonpartisan,None,2016,west-virginia,Trump,57
2016-west-virginia-president-trump-vs-clinton,25395,WashPost/SurveyMonkey,2016-08-09,2016-09-01,Registered Voters,698,Internet,Nonpartisan,None,2016,west-virginia,Clinton,33
2016-west-virginia-president-trump-vs-clinton,25395,WashPost/SurveyMonkey,2016-08-09,2016-09-01,Registered Voters,698,Internet,Nonpartisan,None,2016,west-virginia,Johnson,NA
2016-west-virginia-president-trump-vs-clinton,25395,WashPost/SurveyMonkey,2016-08-09,2016-09-01,Registered Voters,698,Internet,Nonpartisan,None,2016,west-virginia,McMullin,NA
2016-west-virginia-president-trump-vs-clinton,25395,WashPost/SurveyMonkey,2016-08-09,2016-09-01,Registered Voters,698,Internet,Nonpartisan,None,2016,west-virginia,Other,NA
2016-west-virginia-president-trump-vs-clinton,25395,WashPost/SurveyMonkey,2016-08-09,2016-09-01,Registered Voters,698,Internet,Nonpartisan,None,2016,west-virginia,Undecided,10
2016-west-virginia-president-trump-vs-clinton,25325,R.L. Repass & Partners/MetroNews,2016-08-09,2016-08-28,Likely Voters,435,Mixed,Nonpartisan,None,2016,west-virginia,Trump,49
2016-west-virginia-president-trump-vs-clinton,25325,R.L. Repass & Partners/MetroNews,2016-08-09,2016-08-28,Likely Voters,435,Mixed,Nonpartisan,None,2016,west-virginia,Clinton,31
2016-west-virginia-president-trump-vs-clinton,25325,R.L. Repass & Partners/MetroNews,2016-08-09,2016-08-28,Likely Voters,435,Mixed,Nonpartisan,None,2016,west-virginia,Johnson,NA
2016-west-virginia-president-trump-vs-clinton,25325,R.L. Repass & Partners/MetroNews,2016-08-09,2016-08-28,Likely Voters,435,Mixed,Nonpartisan,None,2016,west-virginia,McMullin,NA
2016-west-virginia-president-trump-vs-clinton,25325,R.L. Repass & Partners/MetroNews,2016-08-09,2016-08-28,Likely Voters,435,Mixed,Nonpartisan,None,2016,west-virginia,Other,14
2016-west-virginia-president-trump-vs-clinton,25325,R.L. Repass & Partners/MetroNews,2016-08-09,2016-08-28,Likely Voters,435,Mixed,Nonpartisan,None,2016,west-virginia,Undecided,6
2016-west-virginia-president-trump-vs-clinton,24437,PPP (D),2016-04-29,2016-05-01,Likely Voters,1201,IVR/Online,Pollster,Dem,2016,west-virginia,Trump,57
2016-west-virginia-president-trump-vs-clinton,24437,PPP (D),2016-04-29,2016-05-01,Likely Voters,1201,IVR/Online,Pollster,Dem,2016,west-virginia,Clinton,30
2016-west-virginia-president-trump-vs-clinton,24437,PPP (D),2016-04-29,2016-05-01,Likely Voters,1201,IVR/Online,Pollster,Dem,2016,west-virginia,Johnson,NA
2016-west-virginia-president-trump-vs-clinton,24437,PPP (D),2016-04-29,2016-05-01,Likely Voters,1201,IVR/Online,Pollster,Dem,2016,west-virginia,McMullin,NA
2016-west-virginia-president-trump-vs-clinton,24437,PPP (D),2016-04-29,2016-05-01,Likely Voters,1201,IVR/Online,Pollster,Dem,2016,west-virginia,Other,NA
2016-west-virginia-president-trump-vs-clinton,24437,PPP (D),2016-04-29,2016-05-01,Likely Voters,1201,IVR/Online,Pollster,Dem,2016,west-virginia,Undecided,13
2016-west-virginia-president-trump-vs-clinton,22627,Orion,2015-08-24,2015-08-25,Likely Voters,406,Live Phone,Nonpartisan,None,2016,west-virginia,Trump,53
2016-west-virginia-president-trump-vs-clinton,22627,Orion,2015-08-24,2015-08-25,Likely Voters,406,Live Phone,Nonpartisan,None,2016,west-virginia,Clinton,30
2016-west-virginia-president-trump-vs-clinton,22627,Orion,2015-08-24,2015-08-25,Likely Voters,406,Live Phone,Nonpartisan,None,2016,west-virginia,Johnson,NA
2016-west-virginia-president-trump-vs-clinton,22627,Orion,2015-08-24,2015-08-25,Likely Voters,406,Live Phone,Nonpartisan,None,2016,west-virginia,McMullin,NA
2016-west-virginia-president-trump-vs-clinton,22627,Orion,2015-08-24,2015-08-25,Likely Voters,406,Live Phone,Nonpartisan,None,2016,west-virginia,Other,NA
2016-west-virginia-president-trump-vs-clinton,22627,Orion,2015-08-24,2015-08-25,Likely Voters,406,Live Phone,Nonpartisan,None,2016,west-virginia,Undecided,17
2016-nebraska-president-trump-vs-clinton,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,988,Internet,Nonpartisan,None,2016,nebraska,Trump,52
2016-nebraska-president-trump-vs-clinton,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,988,Internet,Nonpartisan,None,2016,nebraska,Clinton,35
2016-nebraska-president-trump-vs-clinton,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,988,Internet,Nonpartisan,None,2016,nebraska,Johnson,NA
2016-nebraska-president-trump-vs-clinton,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,988,Internet,Nonpartisan,None,2016,nebraska,McMullin,NA
2016-nebraska-president-trump-vs-clinton,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,988,Internet,Nonpartisan,None,2016,nebraska,Other,NA
2016-nebraska-president-trump-vs-clinton,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,988,Internet,Nonpartisan,None,2016,nebraska,Undecided,3
